@relation '4590TestLast-weka.filters.unsupervised.attribute.Remove-R1,5,9,11-13'

@attribute prec {FALSE,TRUE}
@attribute tmax numeric
@attribute tmin numeric
@attribute lectivo {Si}
@attribute fest {V,F,L}
@attribute hora {07:00,09:30,09:45,10:15,12:00,12:45,13:00,13:45,14:15,14:30,15:00,16:30,17:15,18:00,18:15,19:15,20:15,20:30,21:00,21:15,21:30,22:15,23:30,08:30,08:45,09:00,10:00,11:45,13:15,13:30,14:00,14:45,15:15,15:30,15:45,16:15,16:45,17:00,17:30,19:30,19:45,20:45,22:45,23:45,07:15,08:00,08:15,09:15,10:30,10:45,11:00,11:15,11:30,12:15,12:30,16:00,17:45,18:30,18:45,19:00,20:00,21:45,22:00,22:30,23:15,23:00,07:30,07:45}
@attribute carga numeric

@data
FALSE,18,5,Si,V,07:00,2
FALSE,18,5,Si,V,09:30,2
FALSE,18,5,Si,V,09:45,2
FALSE,18,5,Si,V,10:15,2
FALSE,18,5,Si,V,12:00,2
FALSE,18,5,Si,V,12:45,2
FALSE,18,5,Si,V,13:00,0
FALSE,18,5,Si,V,13:45,2
FALSE,18,5,Si,V,14:15,3
FALSE,18,5,Si,V,14:30,2
FALSE,18,5,Si,V,15:00,2
FALSE,18,5,Si,V,16:30,2
FALSE,18,5,Si,V,17:15,2
FALSE,18,5,Si,V,18:00,3
FALSE,18,5,Si,V,18:15,0
FALSE,18,5,Si,V,19:15,2
FALSE,18,5,Si,V,20:15,8
FALSE,18,5,Si,V,20:30,0
FALSE,18,5,Si,V,21:00,3
FALSE,18,5,Si,V,21:15,0
FALSE,18,5,Si,V,21:30,2
FALSE,18,5,Si,V,22:15,2
FALSE,18,5,Si,V,23:30,3
FALSE,23,9,Si,F,07:00,2
FALSE,23,9,Si,F,08:30,2
FALSE,23,9,Si,F,08:45,6
FALSE,23,9,Si,F,09:00,0
FALSE,23,9,Si,F,10:00,2
FALSE,23,9,Si,F,11:45,2
FALSE,23,9,Si,F,13:00,2
FALSE,23,9,Si,F,13:15,6
FALSE,23,9,Si,F,13:30,2
FALSE,23,9,Si,F,13:45,3
FALSE,23,9,Si,F,14:00,2
FALSE,23,9,Si,F,14:30,2
FALSE,23,9,Si,F,14:45,3
FALSE,23,9,Si,F,15:15,3
FALSE,23,9,Si,F,15:30,2
FALSE,23,9,Si,F,15:45,0
FALSE,23,9,Si,F,16:15,2
FALSE,23,9,Si,F,16:45,2
FALSE,23,9,Si,F,17:00,2
FALSE,23,9,Si,F,17:15,3
FALSE,23,9,Si,F,17:30,4
FALSE,23,9,Si,F,18:00,2
FALSE,23,9,Si,F,18:15,4
FALSE,23,9,Si,F,19:30,20
